effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),0.390495483414476,0.14617987817938355,2.6713354004528744,0.007555011525567638
fixed,NA,cat,-0.032501912642611694,0.25781020104908,-0.1260691489722093,0.8996771881454195
ran_pars,subj_id,sd__(Intercept),0.8310716009799166,NA,NA,NA
ran_pars,subj_id,sd__cat,0.9301327899754114,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.6762698315692866,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8167042211118409,NA,NA,NA
fixed,NA,(Intercept),0.3987415715420043,0.14429096848189857,2.76345481451271,0.005719301056693216
fixed,NA,cat,0.06597770602537834,0.25568403399888456,0.2580439028338632,0.7963730246840262
ran_pars,subj_id,sd__(Intercept),0.7626016190539702,NA,NA,NA
ran_pars,subj_id,sd__cat,0.7330368137007873,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.532094815986073,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8339903889934761,NA,NA,NA
fixed,NA,(Intercept),0.4516591675631847,0.15050890518248936,3.0008800277668355,0.002692006052607764
fixed,NA,cat,-0.06016762429163526,0.2629748448740373,-0.22879612048237938,0.8190273822277137
ran_pars,subj_id,sd__(Intercept),0.8447742046546789,NA,NA,NA
ran_pars,subj_id,sd__cat,0.8435578350744068,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.378989009233332,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8477662896636895,NA,NA,NA
fixed,NA,(Intercept),0.4135707434396304,0.14370417729217302,2.877931255949342,0.0040029235849434195
fixed,NA,cat,0.07255946918643955,0.24931903709716735,0.2910306009170125,0.7710279158176306
ran_pars,subj_id,sd__(Intercept),0.8080193208773785,NA,NA,NA
ran_pars,subj_id,sd__cat,0.7547677948177445,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.5097403641381208,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8066714658552098,NA,NA,NA
fixed,NA,(Intercept),0.4148450649024089,0.142392806434972,2.9133849896543786,0.0035753351083869693
fixed,NA,cat,-0.017978551150947916,0.24466199172212655,-0.07348322076674235,0.9414215958622165
ran_pars,subj_id,sd__(Intercept),0.8355537536355624,NA,NA,NA
ran_pars,subj_id,sd__cat,0.8191192836789274,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.38499485485125395,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.7806699153394353,NA,NA,NA
fixed,NA,(Intercept),0.38863031429495876,0.14798276609419775,2.6261863090704622,0.008634754066419422
fixed,NA,cat,0.006102039726534742,0.2596259440675159,0.023503197064727487,0.9812488883016396
ran_pars,subj_id,sd__(Intercept),0.8032510347237514,NA,NA,NA
ran_pars,subj_id,sd__cat,0.7517987143137438,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.35516313515376163,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8466918391204848,NA,NA,NA
fixed,NA,(Intercept),0.37338558313528175,0.145235262430391,2.5709017003652237,0.010143411383991753
fixed,NA,cat,0.053029517554598435,0.2629979427301216,0.20163472384654846,0.8402022970329861
ran_pars,subj_id,sd__(Intercept),0.7699981557332033,NA,NA,NA
ran_pars,subj_id,sd__cat,0.9230974180448501,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.5754887751075609,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8384503640345693,NA,NA,NA
fixed,NA,(Intercept),0.425966203846842,0.1462935385908921,2.911722608870995,0.0035944168273221925
fixed,NA,cat,-0.051402873733685545,0.2374030425944964,-0.21652154568838367,0.8285812324319172
ran_pars,subj_id,sd__(Intercept),0.9219158703282686,NA,NA,NA
ran_pars,subj_id,sd__cat,0.6951172267813868,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.6276974126039632,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.7667464507095456,NA,NA,NA
fixed,NA,(Intercept),0.4180330520415305,0.14896828363873083,2.806188282703987,0.0050131390316016915
fixed,NA,cat,0.07421691980886039,0.265127851376661,0.2799287944419771,0.7795321352331432
ran_pars,subj_id,sd__(Intercept),0.7979363709947622,NA,NA,NA
ran_pars,subj_id,sd__cat,0.8389066716691418,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.35478336465463833,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8574088872393657,NA,NA,NA
fixed,NA,(Intercept),0.5196082849021598,0.1577090726456984,3.2947266519630536,9.851746065582835e-4
fixed,NA,cat,0.16117822511409238,0.2746862066599327,0.5867721829718024,0.5573567213862038
ran_pars,subj_id,sd__(Intercept),0.9041513266752186,NA,NA,NA
ran_pars,subj_id,sd__cat,0.9338671410628343,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.6127433459313184,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8798203371770306,NA,NA,NA
